tnydp_version,subcategory,code,project_name,country,promoter,maturity_status,new_repurposed,section_name,section_length_km,nominal_diameter_mm,max_operating_pressure_bar,hydrogen_import_capacity_gwh_per_day,importing_hydrogen_carrier_raw,conversion_efficiency_pct,storage_capacity_gwh,commissioning_year,sourcing_country,source_sheet,capacity_semantics,model_use,qa_flag
2026,H2T,H2T-F-725,Belgian Hydrogen Backbone - Interconnection BE-NL (Zandvliet & Zelzate),Belgium,Fluxys Hydrogen NV/SA,FID,New,IP Zelzate + Cluster Ghent​,32.0,600.0,66.2,,,,,2032.0,,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-899,mosaHYc - Mosel Saar Hydrogen Conversion,France,NaTran,FID,New,Bouzonville - cross border,3.0,600.0,28.0,,,,,2029.0,,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-899,mosaHYc - Mosel Saar Hydrogen Conversion,France,NaTran,FID,New,Carling – cross border,3.0,150.0,28.0,,,,,2029.0,,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-899,mosaHYc - Mosel Saar Hydrogen Conversion,France,NaTran,FID,Repurposed,Carling -Bouzonville - Perl,46.0,250.0,28.0,,,,,2029.0,,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-987,mosaHYc (Mosel Saar Hydrogen Conversion) - Germany,Germany,Creos Deutschland Wasserstoff GmbH,FID,New,cross border - Dillingen,17.0,600.0,28.0,,,,,2029.0,,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-987,mosaHYc (Mosel Saar Hydrogen Conversion) - Germany,Germany,Creos Deutschland Wasserstoff GmbH,FID,Repurposed,crossborder - Perl,7.0,250.0,28.0,,,,,2029.0,,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-987,mosaHYc (Mosel Saar Hydrogen Conversion) - Germany,Germany,Creos Deutschland Wasserstoff GmbH,FID,Repurposed,Fenne-Fürstenhausen- cross border,19.0,200.0,28.0,,,,,2029.0,,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-989,doing hydrogen,Germany,ONTRAS Gastransport GmbH,FID,Repurposed,Berlin to Blumberg,63.6,600.0,40.0,,,,,2029.0,Electrolysis,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-989,doing hydrogen,Germany,ONTRAS Gastransport GmbH,FID,Repurposed,Berlin to Leipzig,190.6,800.0,40.0,,,,,2032.0,Electrolysis,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-989,doing hydrogen,Germany,ONTRAS Gastransport GmbH,FID,New,Berlin to Eisenhüttenstadt,85.3,1000.0,84.0,,,,,2033.0,Electrolysis,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-996,Green Octopus Mitteldeutschland,Germany,ONTRAS Gastransport GmbH,FID,Repurposed,Milzau to Plaußig,42.8,800.0,40.0,,,,,2027.0,Electrolysis,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-996,Green Octopus Mitteldeutschland,Germany,ONTRAS Gastransport GmbH,FID,Repurposed,Leuna to Böhlen/Kulkwitz,55.3,800.0,40.0,,,,,2028.0,Electrolysis,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-996,Green Octopus Mitteldeutschland,Germany,ONTRAS Gastransport GmbH,FID,New,Salzgitter to Bad Lauchstädt,198.0,800.0,84.0,,,,,2029.0,Electrolysis,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
