scenario_id,from_node,to_node,capacity_gwh,kind,source_ref
2040_Advanced_0.75,DEMAND:Belgium,SINK,5718.092620289968,demand,Belgium
2040_Advanced_0.75,DEMAND:Czechia,SINK,1408.5969031693999,demand,Czechia
2040_Advanced_0.75,DEMAND:Denmark,SINK,371.11909097175163,demand,Denmark
2040_Advanced_0.75,DEMAND:Finland,SINK,2255.038006492489,demand,Finland
2040_Advanced_0.75,DEMAND:France,SINK,7763.744767062377,demand,France
2040_Advanced_0.75,DEMAND:Germany,SINK,20174.983489586688,demand,Germany
2040_Advanced_0.75,DEMAND:Hungary,SINK,2668.5461650468346,demand,Hungary
2040_Advanced_0.75,DEMAND:Italy,SINK,7987.389928586305,demand,Italy
2040_Advanced_0.75,DEMAND:Lithuania,SINK,2086.642582622493,demand,Lithuania
2040_Advanced_0.75,DEMAND:Netherlands,SINK,15071.47993547934,demand,Netherlands
2040_Advanced_0.75,DEMAND:Poland,SINK,9850.26181070539,demand,Poland
2040_Advanced_0.75,DEMAND:Portugal,SINK,1902.122488359911,demand,Portugal
2040_Advanced_0.75,DEMAND:Romania,SINK,1719.0774528366242,demand,Romania
2040_Advanced_0.75,DEMAND:Slovakia,SINK,2351.4021581018887,demand,Slovakia
2040_Advanced_0.75,DEMAND:Spain,SINK,9018.861730517345,demand,Spain
2040_Advanced_0.75,DEMAND:Sweden,SINK,2322.2610140292823,demand,Sweden
