scenario_label,scenario_id,year,level,demand_level,failure_count,unmet_gwh,total_demand_gwh,served_gwh,demand_cut_rate_pct,method
S2030_Advanced_medium__fail__LH2_Tk_NL|NLh2,S2030_Advanced_medium,2030,Advanced,medium,1,77308.0006879507,110340.5006879507,33032.5,70.06312297474722,robust_n1
S2030_Advanced_high__fail__LH2_Tk_NL|NLh2,S2030_Advanced_high,2030,Advanced,high,1,116399.83790139484,149432.33790139484,33032.5,77.89467764213327,robust_n1
S2040_PCIPMI_low__fail__LH2_Tk_NL|NLh2,S2040_PCIPMI_low,2040,PCI/PMI,low,1,34793.54276304261,142943.0427630426,108149.5,24.340843800785773,robust_n1
S2040_PCIPMI_medium__fail__LH2_Tk_NL|NLh2,S2040_PCIPMI_medium,2040,PCI/PMI,medium,1,85290.45991161634,193439.95991161634,108149.5,44.09143795862343,robust_n1
S2040_PCIPMI_high__fail__LH2_Tk_NL|NLh2,S2040_PCIPMI_high,2040,PCI/PMI,high,1,102785.49650855626,210934.99650855624,108149.49999999999,48.728517415263006,robust_n1
S2040_Advanced_low__fail__LH2_Tk_NL|NLh2,S2040_Advanced_low,2040,Advanced,low,1,34793.54276304261,142943.0427630426,108149.5,24.340843800785773,robust_n1
S2040_Advanced_medium__fail__LH2_Tk_NL|NLh2,S2040_Advanced_medium,2040,Advanced,medium,1,85290.45991161636,193439.95991161634,108149.49999999999,44.09143795862343,robust_n1
S2040_Advanced_high__fail__LH2_Tk_NL|NLh2,S2040_Advanced_high,2040,Advanced,high,1,102785.49650855626,210934.99650855624,108149.49999999999,48.728517415263006,robust_n1
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,34317.04921819372,100491.54921819372,66174.5,34.14918914592742,deterministic_central
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,44166.0006879507,110340.5006879507,66174.5,40.02700768311239,deterministic_central
S2030_PCIPMI_high,S2030_PCIPMI_high,2030,PCI/PMI,high,0,83257.83790139483,149432.33790139484,66174.50000000001,55.71607797258299,deterministic_central
S2030_Advanced_low,S2030_Advanced_low,2030,Advanced,low,0,17709.549218193708,100491.54921819372,82782.0,17.62292387366981,deterministic_central
S2030_Advanced_medium,S2030_Advanced_medium,2030,Advanced,medium,0,27558.5006879507,110340.5006879507,82782.0,24.975870615167615,deterministic_central
S2030_Advanced_high,S2030_Advanced_high,2030,Advanced,high,0,66650.33790139483,149432.33790139484,82782.00000000001,44.602352367246674,deterministic_central
S2040_PCIPMI_low,S2040_PCIPMI_low,2040,PCI/PMI,low,0,0.0,142943.0427630426,142943.0427630426,0.0,deterministic_central
S2040_PCIPMI_medium,S2040_PCIPMI_medium,2040,PCI/PMI,medium,0,20648.959911616348,193439.95991161634,172791.0,10.674609279825615,deterministic_central
S2040_PCIPMI_high,S2040_PCIPMI_high,2040,PCI/PMI,high,0,38143.99650855625,210934.99650855624,172791.0,18.083294446120515,deterministic_central
S2040_Advanced_low,S2040_Advanced_low,2040,Advanced,low,0,0.0,142943.0427630426,142943.0427630426,0.0,deterministic_central
S2040_Advanced_medium,S2040_Advanced_medium,2040,Advanced,medium,0,4041.459911616367,193439.95991161634,189398.49999999997,2.0892580382372543,deterministic_central
S2040_Advanced_high,S2040_Advanced_high,2040,Advanced,high,0,21536.49650855626,210934.99650855624,189398.49999999997,10.210015817684699,deterministic_central
S2030_PCIPMI_low__fail__LH2_Tk_FRn|FRh2N,S2030_PCIPMI_low,2030,PCI/PMI,low,1,34317.04921819372,100491.54921819372,66174.5,34.14918914592742,deterministic_central
S2030_PCIPMI_medium__fail__LH2_Tk_FRn|FRh2N,S2030_PCIPMI_medium,2030,PCI/PMI,medium,1,44166.0006879507,110340.5006879507,66174.5,40.02700768311239,deterministic_central
S2030_PCIPMI_high__fail__LH2_Tk_FRn|FRh2N,S2030_PCIPMI_high,2030,PCI/PMI,high,1,83257.83790139484,149432.33790139484,66174.5,55.716077972582994,deterministic_central
S2030_Advanced_low__fail__LH2_Tk_FRn|FRh2N,S2030_Advanced_low,2030,Advanced,low,1,17709.549218193708,100491.54921819372,82782.0,17.62292387366981,deterministic_central
S2030_Advanced_medium__fail__LH2_Tk_FRn|FRh2N,S2030_Advanced_medium,2030,Advanced,medium,1,27558.5006879507,110340.5006879507,82782.0,24.975870615167615,deterministic_central
S2030_Advanced_high__fail__LH2_Tk_FRn|FRh2N,S2030_Advanced_high,2030,Advanced,high,1,66650.33790139484,149432.33790139484,82782.0,44.60235236724668,deterministic_central
S2040_PCIPMI_low__fail__LH2_Tk_FRn|FRh2N,S2040_PCIPMI_low,2040,PCI/PMI,low,1,0.0,142943.0427630426,142943.0427630426,0.0,deterministic_central
S2040_PCIPMI_medium__fail__LH2_Tk_FRn|FRh2N,S2040_PCIPMI_medium,2040,PCI/PMI,medium,1,38168.95991161635,193439.95991161634,155271.0,19.731683117105657,deterministic_central
S2040_PCIPMI_high__fail__LH2_Tk_FRn|FRh2N,S2040_PCIPMI_high,2040,PCI/PMI,high,1,55663.996508556265,210934.99650855624,155270.99999999997,26.389170801393476,deterministic_central
S2040_Advanced_low__fail__LH2_Tk_FRn|FRh2N,S2040_Advanced_low,2040,Advanced,low,1,0.0,142943.0427630426,142943.0427630426,0.0,deterministic_central
S2040_Advanced_medium__fail__LH2_Tk_FRn|FRh2N,S2040_Advanced_medium,2040,Advanced,medium,1,21561.459911616377,193439.95991161634,171878.49999999997,11.1463318755173,deterministic_central
S2040_Advanced_high__fail__LH2_Tk_FRn|FRh2N,S2040_Advanced_high,2040,Advanced,high,1,39056.496508556265,210934.99650855624,171878.49999999997,18.515892172957653,deterministic_central
S2030_PCIPMI_low__fail__LH2_Tk_BE|BEh2,S2030_PCIPMI_low,2030,PCI/PMI,low,1,55961.54921819372,100491.54921819372,44529.99999999999,55.68781619306755,deterministic_central
S2030_PCIPMI_medium__fail__LH2_Tk_BE|BEh2,S2030_PCIPMI_medium,2030,PCI/PMI,medium,1,65810.5006879507,110340.5006879507,44530.0,59.643105004631614,deterministic_central
S2030_PCIPMI_high__fail__LH2_Tk_BE|BEh2,S2030_PCIPMI_high,2030,PCI/PMI,high,1,104902.33790139484,149432.33790139484,44530.0,70.20055991536198,deterministic_central
S2030_Advanced_low__fail__LH2_Tk_BE|BEh2,S2030_Advanced_low,2030,Advanced,low,1,39354.04921819371,100491.54921819372,61137.50000000001,39.16155092080993,deterministic_central
S2030_Advanced_medium__fail__LH2_Tk_BE|BEh2,S2030_Advanced_medium,2030,Advanced,medium,1,49203.0006879507,110340.5006879507,61137.5,44.59196793668684,deterministic_central
S2030_Advanced_high__fail__LH2_Tk_BE|BEh2,S2030_Advanced_high,2030,Advanced,high,1,88294.83790139484,149432.33790139484,61137.5,59.086834310025665,deterministic_central
S2040_PCIPMI_low__fail__LH2_Tk_BE|BEh2,S2040_PCIPMI_low,2040,PCI/PMI,low,1,40816.042763042606,142943.0427630426,102127.0,28.554060396422063,deterministic_central
S2040_PCIPMI_medium__fail__LH2_Tk_BE|BEh2,S2040_PCIPMI_medium,2040,PCI/PMI,medium,1,91312.95991161636,193439.95991161634,102126.99999999999,47.20480709018844,deterministic_central
S2040_PCIPMI_high__fail__LH2_Tk_BE|BEh2,S2040_PCIPMI_high,2040,PCI/PMI,high,1,108807.99650855624,210934.99650855624,102127.0,51.58366241238809,deterministic_central
S2040_Advanced_low__fail__LH2_Tk_BE|BEh2,S2040_Advanced_low,2040,Advanced,low,1,24208.542763042606,142943.0427630426,118734.5,16.935796450879547,deterministic_central
S2040_Advanced_medium__fail__LH2_Tk_BE|BEh2,S2040_Advanced_medium,2040,Advanced,medium,1,74705.45991161637,193439.95991161634,118734.49999999997,38.61945584860008,deterministic_central
S2040_Advanced_high__fail__LH2_Tk_BE|BEh2,S2040_Advanced_high,2040,Advanced,high,1,92200.49650855626,210934.99650855624,118734.49999999999,43.71038378395227,deterministic_central
S2030_PCIPMI_low__fail__LH2_Tk_DE|DEh2,S2030_PCIPMI_low,2030,PCI/PMI,low,1,45705.049218193715,100491.54921819372,54786.5,45.481485332618334,deterministic_central
S2030_PCIPMI_medium__fail__LH2_Tk_DE|DEh2,S2030_PCIPMI_medium,2030,PCI/PMI,medium,1,55554.0006879507,110340.5006879507,54786.5,50.347787386845944,deterministic_central
S2030_PCIPMI_high__fail__LH2_Tk_DE|DEh2,S2030_PCIPMI_high,2030,PCI/PMI,high,1,94645.83790139484,149432.33790139484,54786.5,63.33691838767076,deterministic_central
S2030_Advanced_low__fail__LH2_Tk_DE|DEh2,S2030_Advanced_low,2030,Advanced,low,1,29097.549218193715,100491.54921819372,71394.0,28.955220060360745,deterministic_central
S2030_Advanced_medium__fail__LH2_Tk_DE|DEh2,S2030_Advanced_medium,2030,Advanced,medium,1,38946.5006879507,110340.5006879507,71394.0,35.29665031890117,deterministic_central
S2030_Advanced_high__fail__LH2_Tk_DE|DEh2,S2030_Advanced_high,2030,Advanced,high,1,78038.33790139483,149432.33790139484,71394.00000000001,52.22319278233443,deterministic_central
S2040_PCIPMI_low__fail__LH2_Tk_DE|DEh2,S2040_PCIPMI_low,2040,PCI/PMI,low,1,0.0,142943.0427630426,142943.0427630426,0.0,deterministic_central
S2040_PCIPMI_medium__fail__LH2_Tk_DE|DEh2,S2040_PCIPMI_medium,2040,PCI/PMI,medium,1,40614.45991161635,193439.95991161634,152825.5,20.99589967355933,deterministic_central
S2040_PCIPMI_high__fail__LH2_Tk_DE|DEh2,S2040_PCIPMI_high,2040,PCI/PMI,high,1,58109.49650855625,210934.99650855624,152825.5,27.548532709316984,deterministic_central
S2040_Advanced_low__fail__LH2_Tk_DE|DEh2,S2040_Advanced_low,2040,Advanced,low,1,0.0,142943.0427630426,142943.0427630426,0.0,deterministic_central
S2040_Advanced_medium__fail__LH2_Tk_DE|DEh2,S2040_Advanced_medium,2040,Advanced,medium,1,24006.959911616377,193439.95991161634,169432.99999999997,12.410548431970971,deterministic_central
S2040_Advanced_high__fail__LH2_Tk_DE|DEh2,S2040_Advanced_high,2040,Advanced,high,1,41501.99650855626,210934.99650855624,169433.0,19.675254080881167,deterministic_central
S2030_PCIPMI_low__fail__LH2_Tk_NL|NLh2,S2030_PCIPMI_low,2030,PCI/PMI,low,1,67459.04921819372,100491.54921819372,33032.5,67.12907676616895,deterministic_central
S2030_PCIPMI_medium__fail__LH2_Tk_NL|NLh2,S2030_PCIPMI_medium,2030,PCI/PMI,medium,1,77308.0006879507,110340.5006879507,33032.5,70.06312297474722,deterministic_central
S2030_PCIPMI_high__fail__LH2_Tk_NL|NLh2,S2030_PCIPMI_high,2030,PCI/PMI,high,1,116399.83790139484,149432.33790139484,33032.5,77.89467764213327,deterministic_central
S2030_Advanced_low__fail__LH2_Tk_NL|NLh2,S2030_Advanced_low,2030,Advanced,low,1,67459.04921819372,100491.54921819372,33032.5,67.12907676616895,deterministic_central
S2030_Advanced_medium__fail__LH2_Tk_NL|NLh2,S2030_Advanced_medium,2030,Advanced,medium,1,77308.0006879507,110340.5006879507,33032.5,70.06312297474722,deterministic_central
S2030_Advanced_high__fail__LH2_Tk_NL|NLh2,S2030_Advanced_high,2030,Advanced,high,1,116399.83790139484,149432.33790139484,33032.5,77.89467764213327,deterministic_central
S2040_PCIPMI_low__fail__LH2_Tk_NL|NLh2,S2040_PCIPMI_low,2040,PCI/PMI,low,1,34793.54276304261,142943.0427630426,108149.5,24.340843800785773,deterministic_central
S2040_PCIPMI_medium__fail__LH2_Tk_NL|NLh2,S2040_PCIPMI_medium,2040,PCI/PMI,medium,1,85290.45991161634,193439.95991161634,108149.5,44.09143795862343,deterministic_central
S2040_PCIPMI_high__fail__LH2_Tk_NL|NLh2,S2040_PCIPMI_high,2040,PCI/PMI,high,1,102785.49650855626,210934.99650855624,108149.49999999999,48.728517415263006,deterministic_central
S2040_Advanced_low__fail__LH2_Tk_NL|NLh2,S2040_Advanced_low,2040,Advanced,low,1,34793.54276304261,142943.0427630426,108149.5,24.340843800785773,deterministic_central
S2040_Advanced_medium__fail__LH2_Tk_NL|NLh2,S2040_Advanced_medium,2040,Advanced,medium,1,85290.45991161636,193439.95991161634,108149.49999999999,44.09143795862343,deterministic_central
S2040_Advanced_high__fail__LH2_Tk_NL|NLh2,S2040_Advanced_high,2040,Advanced,high,1,102785.49650855626,210934.99650855624,108149.49999999999,48.728517415263006,deterministic_central
