scenario_label,scenario_id,year,level,demand_level,failure_count,edge_id,edge_type,from_node,to_node,candidate_key,carrier,flow_gwh,capacity_gwh,utilisation_pct
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0075,backbone,FIh2,FIh2Al,,LOHC_to_H2,-0.0,183960.0,-0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0077,backbone,FIh2,FIh2N,,NH3_cracked_to_H2,0.0,3649635.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0077,backbone,FIh2,FIh2N,,LOHC_to_H2,0.0,3649635.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0079,backbone,FIh2,FIh2S,,NH3_cracked_to_H2,0.0,3649635.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0079,backbone,FIh2,FIh2S,,LOHC_to_H2,0.0,3649635.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0081,backbone,FIh2Al,FIh2,,NH3_cracked_to_H2,0.0,183960.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0081,backbone,FIh2Al,FIh2,,LOHC_to_H2,0.0,183960.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0083,backbone,FIh2N,FIh2,,NH3_cracked_to_H2,0.0,3649635.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0083,backbone,FIh2N,FIh2,,LOHC_to_H2,0.0,3649635.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0085,backbone,FIh2S,FIh2,,NH3_cracked_to_H2,-0.0,3649635.0,-0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0085,backbone,FIh2S,FIh2,,LOHC_to_H2,-0.0,3649635.0,-0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0087,backbone,FIh2Al,DEh2,,NH3_cracked_to_H2,-0.0,95630.0,-0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0087,backbone,FIh2Al,DEh2,,LOHC_to_H2,-0.0,95630.0,-0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0091,backbone,FIh2Al,SEh2,,NH3_cracked_to_H2,0.0,183960.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0091,backbone,FIh2Al,SEh2,,LOHC_to_H2,0.0,183960.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0093,backbone,FIh2N,SEh2,,NH3_cracked_to_H2,-0.0,59130.0,-0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0093,backbone,FIh2N,SEh2,,LOHC_to_H2,-0.0,59130.0,-0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0099,backbone,FRh2Va,BEH2Mo,,NH3_cracked_to_H2,0.0,8760.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0099,backbone,FRh2Va,BEH2Mo,,LOHC_to_H2,0.0,8760.0,0.0
S2030_PCIPMI_medium,S2030_PCIPMI_medium,2030,PCI/PMI,medium,0,E0103,backbone,FRh2,FRh2S,,NH3_cracked_to_H2,0.0,70080.0,0.0
